Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###784	12.4	0.0	3.1	NC_004353.4	1566	1698	129	+	INE-1	DNA/RC	478	606	(5)	114811	1	0.211

###385	19.7	0.9	9.2	NC_004353.4	5052	5157	98	C	NF_3_LTR_1	LTR/LTR	(2716)	2290	2193	114812	1	No_ref_available

###428	17.2	12.4	2.4	NC_004353.4	5238	5350	124	+	DNAREP1_DSIM	DNA/RC	38	161	(146)	114814	1	0.404

###382	18.0	9.5	4.5	NC_004353.4	7131	7235	110	C	INE-1	DNA/RC	(459)	152	43	114817	1	0.180

###392	19.7	0.9	9.2	NC_004353.4	11833	11938	98	C	NF_3_LTR_1	LTR/LTR	(2716)	2290	2193	114818	1	No_ref_available

###428	17.2	12.4	2.4	NC_004353.4	12019	12131	124	+	DNAREP1_DSIM	DNA/RC	38	161	(146)	114820	1	0.404

###56243	0.3	0.4	0.2	NC_004353.4	13649	20086	6450	+	MCCLINTOCK-int	LTR/GYPSY	1	6450	(0)	114823	1	No_ref_available

###382	18.0	9.5	4.5	NC_004353.4	20356	20460	110	C	INE-1	DNA/RC	(459)	152	43	114824	1	0.180

###2713/4343	6.539	0.633	1.236	NC_004353.4	25134	26234	965	C	1360	DNA/P	(0)	3409	1	114825/114826	2	0.283
2713	6.6	1.3	1.6	NC_004353.4	25134	25515	381	C	1360	DNA/P	(0)	3409	3029	114825	1
4343	6.5	0.2	1.0	NC_004353.4	25646	26234	584	C	1360	DNA/P	(2825)	584	1	114826	1

###428	17.2	12.4	2.4	NC_004353.4	26399	26511	124	+	DNAREP1_DSIM	DNA/RC	38	161	(146)	114829	1	0.404

###382	18.0	9.5	4.5	NC_004353.4	28293	28397	110	C	INE-1	DNA/RC	(459)	152	43	114831	1	0.180

###517	16.8	7.5	0.0	NC_004353.4	31734	31840	115	+	INE-1	DNA/RC	10	124	(487)	114833	1	0.188

###428	17.2	12.4	2.4	NC_004353.4	31887	31999	124	+	DNAREP1_DSIM	DNA/RC	38	161	(146)	114834	1	0.404

###4750/5611	3.094	0.161	0.300	NC_004353.4	33824	35293	1263	+	1360	DNA/P	1	3409	(0)	114836/114837	2	0.370
4750	3.9	0.0	0.3	NC_004353.4	33824	34408	583	+	1360	DNA/P	1	583	(2826)	114836	1
5611	2.4	0.3	0.3	NC_004353.4	34614	35293	680	+	1360	DNA/P	2730	3409	(0)	114837	1

###3356/229	6.924	1.045	1.005	NC_004353.4	41514	42013	499	+	1360	DNA/P	44	582	(2827)	114840/114841	2	0.146
3356	6.7	0.7	1.1	NC_004353.4	41514	41969	454	+	1360	DNA/P	44	497	(2912)	114840	1
229	9.3	4.7	0.0	NC_004353.4	41971	42013	45	+	1360	DNA/P	538	582	(2827)	114841	1

###514	18.1	6.7	12.3	NC_004353.4	42337	42404	227	+	DNAREP1_DSIM	DNA/RC	60	286	(21)	114843	1	0.739

###683	17.4	1.2	6.1	NC_004353.4	42405	42575	163	C	NF_6_LINE_2	LINE/LINE	(2401)	1045	883	114844	1	0.047

###2105/2604	12.296	11.911	1.248	NC_004353.4	46586	47456	964	C	1360	DNA/P	(0)	3409	2	114848/114849	2	0.283
2105	11.7	20.7	0.9	NC_004353.4	46586	47024	525	C	1360	DNA/P	(0)	3409	2885	114848	1
2604	12.9	3.0	1.6	NC_004353.4	47024	47456	439	C	1360	DNA/P	(2969)	440	2	114849	1

###571	13.7	3.8	14.6	NC_004353.4	52728	52892	137	C	INE-1	DNA/RC	(10)	601	465	114852	1	0.224

###2013/4277	5.551	7.397	0.752	NC_004353.4	52953	53996	954	C	1360	DNA/P	(72)	3337	1	114854/114855	2	0.280
2013	7.0	15.4	0.5	NC_004353.4	52953	53283	380	C	1360	DNA/P	(72)	3337	2958	114854	1
4277	4.7	2.7	0.9	NC_004353.4	53433	53996	574	C	1360	DNA/P	(2835)	574	1	114855	1

###836	17.2	3.5	8.9	NC_004353.4	53998	54351	572	+	DNAREP1_DSIM	DNA/RC	30	601	(10)	114856	1	1.863

###5505	0.2	0.0	0.0	NC_004353.4	54784	55394	611	C	INE-1	DNA/RC	(0)	611	1	114858	1	1.000

###46267	0.1	0.0	0.0	NC_004353.4	76550	81924	5375	+	I-6_DY	LINE/I	1	5375	(0)	114887	1	1.000

###288	8.5	5.3	2.9	NC_004353.4	83583	83751	173	+	HMS-BEAGLE	LTR/GYPSY	1063	1235	(5827)	114888	1	No_ref_available

###863/863	12.700	5.600	10.800	NC_004353.4	88897	89284	569	+	INE-1	DNA/RC	30	598	(13)	114896/114896	2	0.931
863	12.7	5.6	10.8	NC_004353.4	88897	89065	458	+	INE-1	DNA/RC	30	487	(124)	114896	1
863	12.7	5.6	10.8	NC_004353.4	89246	89284	111	+	INE-1	DNA/RC	488	598	(13)	114896	1

###806	18.0	6.7	1.1	NC_004353.4	89066	89245	190	C	NF_6_LINE_2	LINE/LINE	(2376)	1070	881	114897	1	0.055

###459	17.9	13.0	7.5	NC_004353.4	100118	100352	124	C	INE-1	DNA/RC	(13)	598	475	114905	1	0.203

###824	17.0	5.8	9.8	NC_004353.4	100333	100646	597	+	INE-1	DNA/RC	5	601	(10)	114906	1	0.977

###406	16.6	0.0	10.6	NC_004353.4	100936	101029	85	+	NF_3_LTR_1	LTR/LTR	2203	2287	(2719)	114908	1	No_ref_available

###988	15.1	24.2	1.3	NC_004353.4	101068	101426	441	C	1360	DNA/P	(2914)	495	55	114909	1	0.129

###773/858	14.367	18.415	1.974	NC_004353.4	101449	101965	564	C	F-ELEMENT	LINE/JOCKEY	(760)	3948	3201	114910/114910	2	0.120
773	12.9	26.5	2.2	NC_004353.4	101449	101750	376	C	F-ELEMENT	LINE/JOCKEY	(760)	3948	3573	114910	1
858	16.8	5.0	1.6	NC_004353.4	101784	101965	188	C	F-ELEMENT	LINE/JOCKEY	(1320)	3388	3201	114910	1

###530	18.2	16.4	8.3	NC_004353.4	103199	103479	302	C	DNAREP1_DSIM	DNA/RC	(5)	302	1	114912	1	0.984

###545	10.9	30.0	1.2	NC_004353.4	103488	103617	167	C	INE-1	DNA/RC	(435)	176	10	114913	1	0.273

###424	14.6	1.9	11.1	NC_004353.4	103545	103652	99	+	NF_3_LTR_1	LTR/LTR	2193	2291	(2715)	114914	1	No_ref_available

###6912	2.1	0.5	1.0	NC_004353.4	114884	115695	808	C	G5	LINE/JOCKEY	(0)	4856	4049	114928	1	0.166

###406	14.8	6.7	2.1	NC_004353.4	119043	119132	94	C	DNAREP1_DSIM	DNA/RC	(175)	132	39	114930	1	0.306

###395/1079	17.674	4.435	2.456	NC_004353.4	119147	119823	344	+	1360	DNA/P	409	3406	(3)	114931/114933	2	0.101
395	20.8	0.0	5.8	NC_004353.4	119147	119238	87	+	1360	DNA/P	409	495	(2914)	114931	1
